NP_001355814	NM_001368885
NP_996929	NM_207046
NP_001308496	NM_001321567
NP_690904	NM_152927
NP_001307760	NM_001320831
NP_085915	NM_030657
NP_001339283	NM_001352354
NP_001245359	NM_001258430
NP_001317645	NM_001330716
NP_001336318	NM_001349389
NP_689584	NM_152371
NP_057050	NM_015966
NP_001244271	NM_001257342
NP_002544	NM_002553
NP_938409	NM_198399
NP_001350633	NM_001363704
NP_000816	NM_000825
NP_001265618	NM_001278689
NP_001254545	NM_001267616
NP_060505	NM_018035
NP_001354483	NM_001367554
NP_001193901	NM_001206972
NP_001092807	NM_001099337
NP_001340608	NM_001353679
NP_001310239	NM_001323310
NP_001292031	NM_001305102
NP_001350725	NM_001363796
NP_001192246	NM_001205317
NP_149361	NM_033171
NP_001032671	NM_001037582
NP_001265318	NM_001278389
NP_001352703	NM_001365774
NP_001338902	NM_001351973
NP_001308495	NM_001321566
NP_001308502	NM_001321573
NP_997002	NM_207119
NP_001317639	NM_001330710
NP_001154915	NM_001161443
NP_002503	NM_002512
NP_001229344	NM_001242415
NP_079348	NM_025072
NP_112594	NM_031304
NP_001269331	NM_001282402
NP_001310313	NM_001323384
NP_036232	NM_012100
NP_001265612	NM_001278683
NP_001308503	NM_001321574
NP_001308497	NM_001321568
NP_001269426	NM_001282497
NP_064620	NM_020235
NP_001306596	NM_001319667
NP_001269462	NM_001282533
NP_001336736	NM_001349807
NP_001310328	NM_001323399
NP_001243817	NM_001256888
NP_001185611	NM_001198682
NP_001305034	NM_001318105
NP_001310238	NM_001323309
NP_690902	NM_152925
NP_001339285	NM_001352356
NP_114434	NM_032045
NP_001310321	NM_001323392
NP_057340	NM_016256
NP_001271168	NM_001284239
NP_443105	NM_052873
NP_001254547	NM_001267618
NP_001070952	NM_001077484
NP_001158218	NM_001164746
NP_001350612	NM_001363683
NP_001186190	NM_001199261
NP_001124384	NM_001130912
NP_001339293	NM_001352364
NP_001310324	NM_001323395
NP_001289746	NM_001302817
NP_001350030	NM_001363101
NP_001350029	NM_001363100
NP_001212	NM_001221
NP_001354484	NM_001367555
NP_001018147	NM_001018137
NP_001308517	NM_001321588
NP_777547	NM_174887
NP_001308498	NM_001321569
NP_064619	NM_020234
NP_001231696	NM_001244767
NP_001308510	NM_001321581
NP_001310318	NM_001323389
NP_001127697	NM_001134225
NP_061198	NM_018728
NP_001339308	NM_001352379
NP_112582	NM_031292
NP_001317262	NM_001330333
NP_001186676	NM_001199747
NP_001350034	NM_001363105
NP_001284569	NM_001297640
NP_003349	NM_003358
NP_001770	NM_001779
NP_001317049	NM_001330120
NP_002404	NM_002413
NP_001343268	NM_001356339
NP_001350035	NM_001363106
NP_001287722	NM_001300793
NP_001010887	NM_001010887
NP_001305398	NM_001318469
NP_001308508	NM_001321579
NP_001034612	NM_001039523
NP_001165694	NM_001172223
NP_001291375	NM_001304446
NP_001335341	NM_001348412
NP_001186192	NM_001199263
NP_005717	NM_005726
NP_002805	NM_002814
NP_001155291	NM_001161819
NP_001028204	NM_001033032
NP_066405	NM_021061
NP_001308499	NM_001321570
NP_004498	NM_004507
NP_001336048	NM_001349119
NP_001308515	NM_001321586
NP_001308520	NM_001321591
NP_001007026	NM_001007025
NP_001350031	NM_001363102
NP_001336380	NM_001349451
NP_000851	NM_000860
NP_031393	NM_007367
NP_001182667	NM_001195738
NP_001278972	NM_001292043
NP_001308516	NM_001321587
NP_001273280	NM_001286351
NP_001295039	NM_001308110
NP_002626	NM_002635
NP_443711	NM_052985
NP_001340610	NM_001353681
NP_055691	NM_014876
NP_001310323	NM_001323394
NP_001155220	NM_001161748
NP_003856	NM_003865
NP_001308511	NM_001321582
NP_077024	NM_024119
NP_001308519	NM_001321590
NP_001308507	NM_001321578
NP_001310319	NM_001323390
NP_001317633	NM_001330704
NP_001349981	NM_001363052
NP_001316381	NM_001329452
NP_001310236	NM_001323307
NP_001120844	NM_001127372
NP_002475	NM_002484
NP_001276084	NM_001289155
NP_001308506	NM_001321577
NP_001308509	NM_001321580
NP_064573	NM_020188
NP_073583	NM_022746
NP_001254704	NM_001267775
NP_542988	NM_080798
NP_001310316	NM_001323387
NP_835237	NM_178136
NP_005196	NM_005205
NP_659428	NM_144991
NP_149362	NM_033172
NP_036322	NM_012190
NP_001177738	NM_001190809
NP_001308512	NM_001321583
NP_942600	NM_198897
NP_001161389	NM_001167917
NP_009142	NM_007211
NP_055508	NM_014693
NP_683759	NM_148956
NP_001289745	NM_001302816
NP_006532	NM_006541
NP_001338909	NM_001351980
NP_057670	NM_016586
NP_001310317	NM_001323388
NP_009147	NM_007216
NP_060756	NM_018286
NP_001092195	NM_001098725
NP_001336323	NM_001349394
NP_001369260	NM_001382331
NP_776251	NM_173852
NP_001002002	NM_001002002
NP_001307646	NM_001320717
NP_001239598	NM_001252669
NP_001365100	NM_001378171
NP_001358255	NM_001371326
NP_001347164	NM_001360235
NP_001243874	NM_001256945
NP_001358259	NM_001371330
NP_689657	NM_152444
NP_001295138	NM_001308209
NP_001278232	NM_001291303
NP_001035915	NM_001042450
NP_996667	NM_206836
NP_001361204	NM_001374275
NP_001077083	NM_001083614
NP_001369515	NM_001382586
NP_001358343	NM_001371414
NP_001365088	NM_001378159
NP_001358021	NM_001371092
NP_002152	NM_002161
NP_002479	NM_002488
NP_954661	NM_199191
NP_001361728	NM_001374799
NP_005189	NM_005198
NP_001289038	NM_001302109
NP_938079	NM_198320
NP_065919	NM_020868
NP_001358379	NM_001371450
NP_057022	NM_015938
NP_001245239	NM_001258310
NP_001361205	NM_001374276
NP_001092084	NM_001098614
NP_060401	NM_017931
NP_002543	NM_002552
NP_001364188	NM_001377259
NP_115796	NM_032420
NP_000467	NM_000476
NP_060586	NM_018116
NP_001365505	NM_001378576
NP_001369265	NM_001382336
NP_001369261	NM_001382332
NP_000895	NM_000904
NP_060950	NM_018480
NP_001358143	NM_001371214
NP_001244273	NM_001257344
NP_001364198	NM_001377269
NP_000652	NM_000661
NP_001365095	NM_001378166
NP_001362987	NM_001376058
NP_001358257	NM_001371328
NP_001356374	NM_001369445
NP_001365103	NM_001378174
NP_062539	NM_019593
NP_001258661	NM_001271732
NP_110426	NM_030799
NP_001020118	NM_001024947
NP_001381343	NM_001394414
NP_001268917	NM_001281988
NP_001338870	NM_001351941
NP_001381328	NM_001394399
NP_001381348	NM_001394419
NP_001338869	NM_001351940
NP_001381326	NM_001394397
NP_001381346	NM_001394417
NP_001381344	NM_001394415
NP_054897	NM_014178
NP_001291406	NM_001304477
NP_001381342	NM_001394413
NP_001381340	NM_001394411
NP_001338871	NM_001351942
NP_001381347	NM_001394418
NP_001341329	NM_001354400
NP_001381345	NM_001394416
NP_001381341	NM_001394412
NP_001381327	NM_001394398
NP_001338872	NM_001351943
NP_001369513	NM_001382584
NP_001372599	NM_001385670
NP_001338504	NM_001351575
NP_001358348	NM_001371419
NP_722518	NM_153811
NP_066972	NM_021149
NP_001364199	NM_001377270
NP_001365098	NM_001378169
NP_004701	NM_004710
NP_569735	NM_130468
NP_001369259	NM_001382330
NP_000849	NM_000858
NP_001369267	NM_001382338
NP_001358256	NM_001371327
NP_001362817	NM_001375888
NP_001365094	NM_001378165
NP_055140	NM_014325
NP_001035282	NM_001040192
NP_001365102	NM_001378173
NP_001372602	NM_001385673
NP_001358261	NM_001371332
NP_001361228	NM_001374299
NP_000070	NM_000079
NP_001365087	NM_001378158
NP_001229811	NM_001242882
NP_001153606	NM_001160134
NP_001338503	NM_001351574
NP_001362988	NM_001376059
NP_001358264	NM_001371335
NP_940892	NM_198490
NP_787067	NM_175871
NP_114144	NM_031938
NP_001365504	NM_001378575
NP_006432	NM_006441
NP_001364412	NM_001377483
NP_001356370	NM_001369441
NP_001369516	NM_001382587
NP_689741	NM_152528
NP_932765	NM_198097
NP_775491	NM_173355
NP_114130	NM_031924
NP_001350036	NM_001363107
NP_004319	NM_004328
NP_001353174	NM_001366245
NP_001369272	NM_001382343
NP_001361199	NM_001374270
NP_001358347	NM_001371418
NP_001030013	NM_001034841
NP_001243875	NM_001256946
NP_001091977	NM_001098507
NP_112496	NM_031219
NP_078865	NM_024589
NP_060829	NM_018359
NP_055291	NM_014476
NP_001154875	NM_001161403
NP_001358342	NM_001371413
NP_001362750	NM_001375821
NP_003264	NM_003273
NP_001317147	NM_001330218
NP_001365507	NM_001378578
NP_001365508	NM_001378579
NP_001364436	NM_001377507
NP_001365502	NM_001378573
NP_001365101	NM_001378172
NP_001362700	NM_001375771
NP_003846	NM_003855
NP_001362749	NM_001375820
NP_001029344	NM_001034172
NP_001257310	NM_001270381
NP_001365509	NM_001378580
NP_001369262	NM_001382333
NP_005318	NM_005327
NP_001362990	NM_001376061
NP_001358142	NM_001371213
NP_001358377	NM_001371448
NP_001371587	NM_001384658
NP_001362832	NM_001375903
NP_001362830	NM_001375901
NP_001365500	NM_001378571
NP_001303901	NM_001316972
NP_001369414	NM_001382485
NP_001363229	NM_001376300
NP_001363018	NM_001376089
NP_932066	NM_197962
NP_059144	NM_017448
NP_001365105	NM_001378176
NP_001123519	NM_001130047
NP_001278878	NM_001291949
NP_001369271	NM_001382342
NP_001372601	NM_001385672
NP_001231855	NM_001244926
NP_002814	NM_002823
NP_001138637	NM_001145165
NP_597998	NM_133491
NP_001257309	NM_001270380
NP_689928	NM_152715
NP_001128265	NM_001134793
NP_112176	NM_030914
NP_000007	NM_000016
NP_001358378	NM_001371449
NP_001365099	NM_001378170
NP_001372596	NM_001385667
NP_001358263	NM_001371334
NP_001985	NM_001994
NP_001361014	NM_001374085
NP_006204	NM_006213
NP_001362701	NM_001375772
NP_001365506	NM_001378577
NP_000056	NM_000065
NP_001365104	NM_001378175
NP_443066	NM_052834
NP_001365092	NM_001378163
NP_001365096	NM_001378167
NP_001351645	NM_001364716
NP_001675	NM_001684
NP_001358141	NM_001371212
NP_001365091	NM_001378162
NP_001254706	NM_001267777
NP_004060	NM_004069
NP_001310272	NM_001323343
NP_001243876	NM_001256947
NP_001365090	NM_001378161
NP_001363019	NM_001376090
NP_071895	NM_022450
NP_001362497	NM_001375568
NP_001362833	NM_001375904
NP_001107610	NM_001114138
NP_001365089	NM_001378160
NP_003850	NM_003859
NP_001191339	NM_001204410
NP_001002257	NM_001002257
NP_001369266	NM_001382337
NP_001362989	NM_001376060
NP_001365498	NM_001378569
NP_060181	NM_017711
NP_001369258	NM_001382329
NP_060311	NM_017841
NP_054763	NM_014044
NP_001365093	NM_001378164
NP_001372598	NM_001385669
NP_001032755	NM_001037666
NP_001371588	NM_001384659
NP_001240804	NM_001253875
NP_001365503	NM_001378574
NP_001362831	NM_001375902
NP_060850	NM_018380
NP_001358208	NM_001371279
NP_060680	NM_018210
NP_001362499	NM_001375570
NP_001372600	NM_001385671
NP_004880	NM_004889
NP_001339684	NM_001352755
NP_001365097	NM_001378168
NP_001273380	NM_001286451
NP_001362323	NM_001375394
NP_001362829	NM_001375900
NP_001369269	NM_001382340
NP_872357	NM_182551
NP_001361229	NM_001374300
NP_001362698	NM_001375769
NP_001369147	NM_001382218
NP_059142	NM_017446
NP_001364437	NM_001377508
NP_001366242	NM_001379313
NP_001139627	NM_001146155
NP_001358376	NM_001371447
NP_001157632	NM_001164160
NP_001358372	NM_001371443
NP_001372597	NM_001385668
NP_079352	NM_025076
NP_038203	NM_013417
NP_115707	NM_032331
NP_001361452	NM_001374523
NP_001303923	NM_001316994
NP_775741	NM_173470
NP_056042	NM_015227
NP_036513	NM_012381
NP_001365501	NM_001378572
NP_004676	NM_004685
NP_055454	NM_014639
NP_001381349	NM_001394420
NP_001269599	NM_001282670
NP_001091068	NM_001097599
NP_001005368	NM_001005368
NP_001123509	NM_001130037
NP_001275958	NM_001289029
NP_001349991	NM_001363062
NP_001091069	NM_001097600
NP_001338674	NM_001351745
NP_001268718	NM_001281789
NP_001229403	NM_001242474
NP_001338027	NM_001351098
NP_001284489	NM_001297560
NP_001182237	NM_001195308
NP_001035863	NM_001042404
NP_001335182	NM_001348253
NP_001070862	NM_001077394
NP_001311014	NM_001324085
NP_116139	NM_032750
NP_954662	NM_199192
NP_001316043	NM_001329114
NP_001316619	NM_001329690
NP_001093142	NM_001099672
NP_001337464	NM_001350535
NP_001340362	NM_001353433
NP_001294947	NM_001308018
NP_001307156	NM_001320227
NP_444280	NM_053052
NP_001308836	NM_001321907
NP_001229405	NM_001242476
NP_001116429	NM_001122957
NP_001229404	NM_001242475
NP_065800	NM_020749
NP_001305168	NM_001318239
NP_001127696	NM_001134224
NP_001310523	NM_001323594
NP_001269600	NM_001282671
NP_001338016	NM_001351087
NP_001120856	NM_001127384
NP_001265435	NM_001278506
NP_001311096	NM_001324167
NP_001291414	NM_001304485
NP_945187	NM_198949
NP_001161388	NM_001167916
NP_001338036	NM_001351107
NP_001264983	NM_001278054
NP_001157865	NM_001164393
NP_001353224	NM_001366295
NP_945188	NM_198950
NP_001284543	NM_001297614
NP_001161387	NM_001167915
NP_001307675	NM_001320746
NP_001153073	NM_001159601
NP_001164268	NM_001170797
NP_001229812	NM_001242883
NP_001316068	NM_001329139
NP_001337671	NM_001350742
NP_001257369	NM_001270440
NP_001307968	NM_001321039
NP_001338672	NM_001351743
NP_001171632	NM_001184703
NP_658982	NM_144769
NP_001243610	NM_001256681
NP_001180350	NM_001193421
NP_001191813	NM_001204884
NP_001265579	NM_001278650
NP_001242924	NM_001255995
NP_005231	NM_005240
NP_001230681	NM_001243752
NP_694573	NM_153028
NP_002292	NM_002301
NP_001159434	NM_001165962
NP_001273538	NM_001286609
NP_001304929	NM_001318000
NP_001310863	NM_001323934
NP_001152863	NM_001159391
NP_001153738	NM_001160266
NP_001243326	NM_001256397
NP_001180500	NM_001193571
NP_078858	NM_024582
NP_001258641	NM_001271712
NP_001276901	NM_001289972
NP_001186608	NM_001199679
NP_001254628	NM_001267699
NP_742112	NM_172114
NP_001309371	NM_001322442
NP_001267475	NM_001280546
NP_001338673	NM_001351744
NP_001093096	NM_001099626
NP_036339	NM_012207
NP_001265875	NM_001278946
NP_001316403	NM_001329474
NP_065727	NM_020676
NP_945190	NM_198952
NP_001157863	NM_001164391
NP_001333684	NM_001346755
NP_001240622	NM_001253693
NP_001182448	NM_001195519
NP_001263400	NM_001276471
NP_001244891	NM_001257962
NP_001339850	NM_001352921
NP_001245267	NM_001258338
NP_001159476	NM_001166004
NP_001239441	NM_001252512
NP_079061	NM_024785
NP_001158355	NM_001164883
NP_001287705	NM_001300776
NP_001093256	NM_001099786
NP_001028174	NM_001033002
NP_001164664	NM_001171193
NP_945176	NM_198938
NP_001014434	NM_001014434
NP_079182	NM_024906
NP_001189431	NM_001202502
NP_001257374	NM_001270445
NP_001245388	NM_001258459
NP_001340439	NM_001353510
NP_003431	NM_003440
NP_001243640	NM_001256711
NP_001307748	NM_001320819
NP_001191295	NM_001204366
NP_742113	NM_172115
NP_001132982	NM_001139510
NP_001153716	NM_001160244
NP_001138294	NM_001144822
NP_001243637	NM_001256708
NP_001186089	NM_001199160
NP_001295223	NM_001308294
NP_001108603	NM_001115131
NP_062457	NM_019557
NP_001191812	NM_001204883
NP_003550	NM_003559
NP_001003697	NM_001003697
NP_001231593	NM_001244664
NP_001276022	NM_001289093
NP_060264	NM_017794
NP_001287797	NM_001300868
NP_001337675	NM_001350746
NP_001265509	NM_001278580
NP_001036212	NM_001042747
NP_001159865	NM_001166393
NP_001309363	NM_001322434
NP_957714	NM_201262
NP_001292558	NM_001305629
NP_001316067	NM_001329138
NP_001139786	NM_001146314
NP_001308264	NM_001321335
NP_001307567	NM_001320638
NP_001339426	NM_001352497
NP_001269657	NM_001282728
NP_001316402	NM_001329473
NP_001305797	NM_001318868
NP_001258564	NM_001271635
NP_001269601	NM_001282672
NP_001032203	NM_001037126
NP_001311097	NM_001324168
NP_001287706	NM_001300777
NP_001338473	NM_001351544
NP_001337462	NM_001350533
NP_001003696	NM_001003696
NP_001265667	NM_001278738
NP_001003703	NM_001003703
NP_001295287	NM_001308358
NP_001310525	NM_001323596
NP_001265219	NM_001278290
NP_001337673	NM_001350744
NP_001165557	NM_001172086
NP_001164662	NM_001171191
NP_001257300	NM_001270371
NP_001280014	NM_001293085
NP_001316066	NM_001329137
NP_001310524	NM_001323595
NP_001316622	NM_001329693
NP_001338677	NM_001351748
NP_001165359	NM_001171888
NP_001073336	NM_001079867
NP_001138301	NM_001144829
NP_001035122	NM_001040033
NP_001129632	NM_001136160
NP_001138423	NM_001144951
NP_060514	NM_018044
NP_001164606	NM_001171135
NP_001337672	NM_001350743
NP_001035985	NM_001042520
NP_001338029	NM_001351100
NP_001123514	NM_001130042
NP_001304710	NM_001317781
NP_001229761	NM_001242832
NP_001138302	NM_001144830
NP_001309785	NM_001322856
NP_001307196	NM_001320267
NP_001254707	NM_001267778
NP_001290034	NM_001303105
NP_001305856	NM_001318927
NP_001350769	NM_001363840
NP_001912	NM_001921
NP_001243329	NM_001256400
NP_001264162	NM_001277233
NP_001307195	NM_001320266
NP_001153718	NM_001160246
NP_001245389	NM_001258460
NP_001316623	NM_001329694
NP_001307749	NM_001320820
NP_001305404	NM_001318475
NP_001345463	NM_001358534
NP_001925	NM_001934
NP_954664	NM_199194
NP_001128143	NM_001134671
NP_001107609	NM_001114137
NP_954663	NM_199193
NP_001310862	NM_001323933
NP_058131	NM_016815
NP_001290192	NM_001303263
NP_001243234	NM_001256305
NP_001278214	NM_001291285
NP_001093258	NM_001099788
NP_001267474	NM_001280545
NP_001093141	NM_001099671
NP_001291416	NM_001304487
NP_001336844	NM_001349915
NP_001289963	NM_001303034
NP_001308960	NM_001322031
NP_003410	NM_003419
NP_659481	NM_145044
NP_001339427	NM_001352498
NP_001338484	NM_001351555
NP_001001931	NM_001001931
NP_001269585	NM_001282656
NP_001153715	NM_001160243
NP_001005415	NM_001005415
NP_001231512	NM_001244583
NP_945186	NM_198948
NP_001093257	NM_001099787
NP_001230678	NM_001243749
NP_001337674	NM_001350745
NP_001166173	NM_001172702
NP_001274151	NM_001287222
NP_001311095	NM_001324166
NP_001295010	NM_001308081
NP_061873	NM_019000
NP_001309365	NM_001322436
NP_001138863	NM_001145391
NP_001271282	NM_001284353
NP_001120800	NM_001127328
NP_996930	NM_207047
NP_002363	NM_002372
NP_001243236	NM_001256307
NP_005165	NM_005174
NP_001159812	NM_001166340
NP_001008712	NM_001008712
NP_001865	NM_001874
NP_001317530	NM_001330601
NP_003909	NM_003918
NP_963892	NM_201598
NP_000864	NM_000873
NP_001307251	NM_001320322
NP_068380	NM_021734
NP_001165077	NM_001171606
NP_001159531	NM_001166059
NP_001177808	NM_001190879
NP_777588	NM_174928
NP_001139411	NM_001145939
NP_001310859	NM_001323930
NP_001186797	NM_001199868
NP_001337670	NM_001350741
NP_001311093	NM_001324164
NP_001316042	NM_001329113
NP_001252530	NM_001265601
NP_001269428	NM_001282499
NP_001139675	NM_001146203
NP_001338676	NM_001351747
NP_001116850	NM_001123378
NP_001337669	NM_001350740
NP_001018112	NM_001018102
NP_055700	NM_014885
NP_001311094	NM_001324165
NP_057610	NM_016526
NP_001316620	NM_001329691
NP_001243264	NM_001256335
NP_001265668	NM_001278739
NP_001338034	NM_001351105
NP_877421	NM_182744
NP_001258142	NM_001271213
NP_001180501	NM_001193572
NP_003419	NM_003428
NP_001337442	NM_001350513
NP_001316613	NM_001329684
NP_001180462	NM_001193533
NP_001136147	NM_001142675
NP_951008	NM_199053
NP_001093140	NM_001099670
NP_001336843	NM_001349914
NP_001186740	NM_001199811
NP_001230680	NM_001243751
NP_742076	NM_172079
NP_001316617	NM_001329688
NP_001188407	NM_001201478
NP_001230684	NM_001243755
NP_001306980	NM_001320051
NP_001287707	NM_001300778
NP_001310861	NM_001323932
NP_001257302	NM_001270373
NP_001121188	NM_001127716
NP_001273600	NM_001286671
NP_659451	NM_145014
NP_001138363	NM_001144891
NP_001269733	NM_001282804
NP_056326	NM_015511
NP_001243639	NM_001256710
NP_001154913	NM_001161441
NP_113617	NM_031429
NP_001335181	NM_001348252
NP_001309220	NM_001322291
NP_001676	NM_001685
NP_001264900	NM_001277971
NP_001338028	NM_001351099
NP_001265218	NM_001278289
NP_001273601	NM_001286672
NP_001243126	NM_001256197
NP_001284574	NM_001297645
NP_001171941	NM_001185012
NP_114478	NM_032089
NP_001338682	NM_001351753
NP_001350892	NM_001363963
NP_001309784	NM_001322855
NP_001119594	NM_001126122
NP_001164663	NM_001171192
NP_006443	NM_006452
NP_001278918	NM_001291989
NP_001254741	NM_001267812
NP_663612	NM_145637
NP_001338447	NM_001351518
NP_689495	NM_152282
NP_848612	NM_178517
NP_001258640	NM_001271711
NP_001265586	NM_001278657
NP_859526	NM_181742
NP_612441	NM_138432
NP_004890	NM_004899
NP_001317516	NM_001330587
NP_001230682	NM_001243753
NP_001276334	NM_001289405
NP_001335180	NM_001348251
NP_001243327	NM_001256398
NP_001243513	NM_001256584
NP_954655	NM_199186
NP_001289964	NM_001303035
NP_001310860	NM_001323931
NP_005879	NM_005888
NP_001257371	NM_001270442
NP_659500	NM_145063
NP_001316618	NM_001329689
NP_001276021	NM_001289092
NP_001271193	NM_001284264
NP_001165558	NM_001172087
NP_001243328	NM_001256399
NP_001257301	NM_001270372
NP_001239440	NM_001252511
NP_839955	NM_178237
NP_001243636	NM_001256707
NP_859531	NM_181747
NP_001243235	NM_001256306
NP_001317249	NM_001330320
NP_001339424	NM_001352495
NP_001316069	NM_001329140
NP_001293069	NM_001306140
NP_005934	NM_005943
NP_001353225	NM_001366296
NP_001275510	NM_001288581
NP_001153645	NM_001160173
NP_001337463	NM_001350534
NP_001316625	NM_001329696
NP_001243641	NM_001256712
NP_001161820	NM_001168348
NP_001139782	NM_001146310
NP_919420	NM_194439
NP_071941	NM_022496
NP_001035864	NM_001042405
NP_003654	NM_003663
NP_001006624	NM_001006623
NP_001001560	NM_001001560
NP_001157864	NM_001164392
NP_060303	NM_017833
NP_001027464	NM_001032293
NP_001284490	NM_001297561
NP_862820	NM_181837
NP_001001925	NM_001001925
NP_001191015	NM_001204086
NP_001309366	NM_001322437
NP_001336842	NM_001349913
NP_001309372	NM_001322443
NP_001337918	NM_001350989
NP_001186745	NM_001199816
NP_001269965	NM_001283036
NP_001305167	NM_001318238
NP_001020376	NM_001025205
NP_001316404	NM_001329475
NP_001308909	NM_001321980
NP_036302	NM_012170
NP_996926	NM_207043
NP_001006623	NM_001006622
NP_001374180	NM_001387251
NP_001186508	NM_001199579
NP_001374179	NM_001387250
NP_001374173	NM_001387244
NP_001374183	NM_001387254
NP_001245171	NM_001258242
NP_001374167	NM_001387238
NP_001374160	NM_001387231
NP_001245170	NM_001258241
NP_001374184	NM_001387255
NP_001374185	NM_001387256
NP_001381369	NM_001394440
NP_001374165	NM_001387236
NP_001374176	NM_001387247
NP_001374186	NM_001387257
NP_001374175	NM_001387246
NP_001243630	NM_001256701
NP_001374169	NM_001387240
NP_001374187	NM_001387258
NP_001074015	NM_001080546
NP_001245168	NM_001258239
NP_001245169	NM_001258240
NP_001374159	NM_001387230
NP_001381358	NM_001394429
NP_001374177	NM_001387248
NP_001374168	NM_001387239
NP_001381360	NM_001394431
NP_001374166	NM_001387237
NP_001374174	NM_001387245
NP_001374163	NM_001387234
NP_001381357	NM_001394428
NP_001245174	NM_001258245
NP_001381368	NM_001394439
NP_001245175	NM_001258246
NP_001381372	NM_001394443
NP_001374164	NM_001387235
NP_001374181	NM_001387252
NP_001374171	NM_001387242
NP_001381367	NM_001394438
NP_001374162	NM_001387233
NP_001374188	NM_001387259
NP_001291405	NM_001304476
NP_001374178	NM_001387249
NP_001374170	NM_001387241
NP_001381370	NM_001394441
NP_001380916	NM_001393987
NP_001245167	NM_001258238
NP_001381356	NM_001394427
NP_001374161	NM_001387232
NP_001245176	NM_001258247
NP_001381359	NM_001394430
NP_001243629	NM_001256700
NP_001245172	NM_001258243
NP_001381371	NM_001394442
NP_001374182	NM_001387253
NP_003423	NM_003432
NP_001381028	NM_001394099
NP_001381175	NM_001394246
NP_001374681	NM_001387752
NP_001374674	NM_001387745
NP_001376511	NM_001389582
NP_001380340	NM_001393411
NP_001020092	NM_001024921
NP_001376533	NM_001389604
NP_001311002	NM_001324073
NP_001375276	NM_001388347
NP_001269080	NM_001282151
NP_201576	NM_033319
NP_001381180	NM_001394251
NP_001381031	NM_001394102
NP_001309783	NM_001322854
NP_001374685	NM_001387756
NP_001277150	NM_001290221
NP_001380342	NM_001393413
NP_001374686	NM_001387757
NP_001374666	NM_001387737
NP_001376512	NM_001389583
NP_742125	NM_172127
NP_001164653	NM_001171182
NP_001381181	NM_001394252
NP_001307747	NM_001320818
NP_001376507	NM_001389578
NP_001381188	NM_001394259
NP_001381192	NM_001394263
NP_001311005	NM_001324076
NP_001376532	NM_001389603
NP_001381029	NM_001394100
NP_001377778	NM_001390849
NP_001381190	NM_001394261
NP_001376524	NM_001389595
NP_001381185	NM_001394256
NP_001381030	NM_001394101
NP_001381193	NM_001394264
NP_001139145	NM_001145673
NP_001374665	NM_001387736
NP_060421	NM_017951
NP_001374219	NM_001387290
NP_001185781	NM_001198852
NP_001374217	NM_001387288
NP_001374221	NM_001387292
NP_001139143	NM_001145671
NP_001338030	NM_001351101
NP_001347481	NM_001360552
NP_001381024	NM_001394095
NP_001185546	NM_001198617
NP_001381186	NM_001394257
NP_009206	NM_007275
NP_001374684	NM_001387755
NP_001191815	NM_001204886
NP_001381184	NM_001394255
NP_001306036	NM_001319107
NP_001374683	NM_001387754
NP_001380288	NM_001393359
NP_001374672	NM_001387743
NP_001092261	NM_001098791
NP_001338679	NM_001351750
NP_001381205	NM_001394276
NP_001374663	NM_001387734
NP_001376529	NM_001389600
NP_001378921	NM_001391992
NP_001136408	NM_001142936
NP_001381026	NM_001394097
NP_001374218	NM_001387289
NP_001153646	NM_001160174
NP_001380286	NM_001393357
NP_001376513	NM_001389584
NP_001305869	NM_001318940
NP_001381178	NM_001394249
NP_001376505	NM_001389576
NP_001376531	NM_001389602
NP_001240752	NM_001253823
NP_001374193	NM_001387264
NP_001376534	NM_001389605
NP_001139142	NM_001145670
NP_001317399	NM_001330470
NP_001374657	NM_001387728
NP_001139288	NM_001145816
NP_001380865	NM_001393936
NP_736606	NM_170750
NP_001381177	NM_001394248
NP_001375122	NM_001388193
NP_001374222	NM_001387293
NP_001381025	NM_001394096
NP_060660	NM_018190
NP_001139146	NM_001145674
NP_001291995	NM_001305066
NP_001376527	NM_001389598
NP_001380316	NM_001393387
NP_001230683	NM_001243754
NP_001381023	NM_001394094
NP_001374673	NM_001387744
NP_001292559	NM_001305630
NP_001257700	NM_001270771
NP_001376508	NM_001389579
NP_001376530	NM_001389601
NP_001380287	NM_001393358
NP_001381176	NM_001394247
NP_001381189	NM_001394260
NP_001139147	NM_001145675
NP_001381206	NM_001394277
NP_714543	NM_153699
NP_002689	NM_002698
NP_002443	NM_002452
NP_055378	NM_014563
NP_001381202	NM_001394273
NP_001342142	NM_001355213
NP_001374189	NM_001387260
NP_001032367	NM_001037290
NP_001381179	NM_001394250
NP_001381182	NM_001394253
NP_001073351	NM_001079882
NP_001375121	NM_001388192
NP_001317212	NM_001330283
NP_001278262	NM_001291333
NP_001376523	NM_001389594
NP_001139144	NM_001145672
NP_001374652	NM_001387723
NP_001374223	NM_001387294
NP_001376525	NM_001389596
NP_001380285	NM_001393356
NP_001375248	NM_001388319
NP_001317640	NM_001330711
NP_001376510	NM_001389581
NP_001376528	NM_001389599
NP_001269427	NM_001282498
NP_003594	NM_003603
NP_742127	NM_172129
NP_001374671	NM_001387742
NP_001234923	NM_001247994
NP_001381194	NM_001394265
NP_001381191	NM_001394262
NP_001374655	NM_001387726
NP_001358177	NM_001371248
NP_001381417	NM_001394488
NP_001026860	NM_001031690
NP_001381422	NM_001394493
