NM_002495	O43181	NDUFS4
NM_001190479	C9JTQ0	ANKRD63
NM_020147	Q9P2Z0	THAP10
NM_001524	O43612	HCRT
NM_000998	P61513	RPL37A
NM_001097594	Q9HD64	XAGE1B
NM_014905	O94925	GLS
NM_016024	Q9Y388	RBMX2
NM_004957	Q05932	FPGS
NM_007289	P08473	MME
NM_152889	Q8NET6	CHST13
NM_004330	Q12982	BNIP2
NM_032141	Q9H0G5	NSRP1
NM_018216	Q9NVE7	PANK4
NM_001371304	Q9P0V3	SH3BP4
NM_001201329	Q86XI6	PPP1R3B
NM_001233	P51636	CAV2
NM_030792	Q8WTR4	GDPD5
NM_001258283	Q8NHB1	OR2V1
NM_004429	P98172	EFNB1
NM_005128	Q9Y3R5	DOP1B
NM_004441	P54762	EPHB1
NM_144689	Q8TAQ5	ZNF420
NM_001043	P23975	SLC6A2
NM_176096	Q96JB5	CDK5RAP3
NM_001287495	Q6PIW4	FIGNL1
NM_001018116	Q5BKX8	CAVIN4
NM_001080483	A6NI61	MYMK
NM_001221	Q13557	CAMK2D
NM_001098414	Q6ZSS3	ZNF621
NM_003670	O14503	BHLHE40
NM_005142	P27352	CBLIF
NM_002010	P31371	FGF9
NM_002186	Q01113	IL9R
NM_001144955	Q8N5C7	DTWD1
NM_000324	Q02094	RHAG
NM_018963	Q9NSI6	BRWD1
NM_017415	Q9UH77	KLHL3
NM_003806	O00198	HRK
NM_001170402	Q86Y33	CDC20B
NM_001099274	Q9BSI4	TINF2
NM_199133	Q6P4H8	ATPSCKMT
NM_002784	Q00887	PSG9
NM_013261	Q9UBK2	PPARGC1A
NM_001386059	Q96JS3	PGBD1
NM_003145	P43308	SSR2
NM_014268	Q15555	MAPRE2
NM_012347	Q9UK97	FBXO9
NM_014045	Q7Z4F1	LRP10
NM_001128608	O60336	MAPKBP1
NM_139240	O95561	C1orf105
NM_001042462	Q8IUR0	TRAPPC5
NM_174922	Q3MIX3	ADCK5
NM_006794	O95800	GPR75
NM_001321	Q16527	CSRP2
NM_173566	Q5THK1	PRR14L
NM_020753	Q8WXE0	CASKIN2
NM_022367	Q9H3S1	SEMA4A
NM_001164839	Q96PS1	FANCD2OS
NM_199189	P43243	MATR3
NM_005097	O95970	LGI1
NM_023073	Q9H799	CPLANE1
NM_203380	Q9ULC5	ACSL5
NM_139162	Q96C03	MIEF2
NM_006923	Q99470	SDF2
NM_031427	Q4LDG9	DNAL1
NM_016307	Q99811	PRRX2
NM_152379	Q8NDD1	C1orf131
NM_001005161	Q8NGK2	OR52B4
NM_002775	Q92743	HTRA1
NM_012368	O95371	OR2C1
NM_002120	P13765	HLA-DOB
NM_001310219	A8MUP6	GSG1L2
NM_080491	Q9UQC2	GAB2
NM_002075	P16520	GNB3
NM_003359	O60701	UGDH
NM_024044	Q9BQ83	SLX1B
NM_001009931	Q86YZ3	HRNR
NM_004888	O75348	ATP6V1G1
NM_080658	Q96HD9	ACY3
NM_015665	Q9NRG9	AAAS
NM_003513	P04908	H2AC8
NM_002896	Q9BWF3	RBM4
NM_001370465	Q4G0W2	DUSP28
NM_152707	P16260	SLC25A16
NM_021807	Q96A65	EXOC4
NM_015021	O60281	ZNF292
NM_001366466	Q03112	MECOM
NM_014231	P23763	VAMP1
NM_015412	Q6NW34	NEPRO
NM_022901	Q9H756	LRRC19
NM_021117	Q49AN0	CRY2
NM_001195138	P0DJR0	GIMD1
NM_022437	Q9H221	ABCG8
NM_145861	Q8WWZ3	EDARADD
NM_031474	Q9BQI9	NRIP2
NM_001384909	Q68J44	DUSP29
NM_001038603	Q8N4S9	MARVELD2
NM_002153	P37059	HSD17B2
NM_018279	Q96HH6	TMEM19
NM_152898	Q96RJ6	FERD3L
NM_001363433	Q9BV99	LRRC61
NM_001330221	Q9UI08	EVL
NM_001321066	P02654	APOC1
NM_001004309	Q6NX45	ZNF774
NM_017714	Q9H6P5	TASP1
NM_006768	Q7Z569	BRAP
NM_005576	Q08397	LOXL1
NM_145004	Q8TC27	ADAM32
NM_144634	Q96KX0	LYZL4
NM_001361	Q02127	DHODH
NM_000757	P09603	CSF1
NM_014864	O75063	FAM20B
NM_005257	Q92908	GATA6
NM_000494	Q9UMD9	COL17A1
NM_025145	Q8NDM7	CFAP43
NM_004428	P20827	EFNA1
NM_001195541	P0DP42	TMEM225B
NM_001130957	Q5SY80	CATSPERE
NM_181657	Q15722	LTB4R
NM_024293	Q8NC44	RETREG2
NM_001166037	Q3ZCT1	ZNF260
NM_016568	Q9NSD7	RXFP3
NM_001127217	O15198	SMAD9
NM_005530	P50213	IDH3A
NM_003562	Q02978	SLC25A11
NM_001031701	Q86UY8	NT5DC3
NM_006476	O75964	ATP5MG
NM_014285	Q13868	EXOSC2
NM_003076	Q96GM5	SMARCD1
NM_001355404	A8MTY0	ZNF724
NM_001012456	P60059	SEC61G
NM_004522	O60282	KIF5C
NM_001284333	Q86UE8	TLK2
NM_014450	Q9Y3P8	SIT1
NM_001354709	P10828	THRB
NM_005488	O60784	TOM1
NM_080607	Q96N03	VSTM2L
NM_007097	P09497	CLTB
NM_153711	Q8N5C1	CALHM5
NM_001195263	Q9H5P4	PDZD7
NM_003638	P53708	ITGA8
NM_001282201	Q2M218	ZNF630
NM_005855	O60894	RAMP1
NM_024299	Q9H3Y8	PPDPF
NM_014212	O43248	HOXC11
NM_002427	P45452	MMP13
NM_003249	P52888	THOP1
NM_152394	Q7L0X2	ERICH6
NM_080677	Q96FJ2	DYNLL2
NM_019102	P20719	HOXA5
NM_001294314	Q8NCL8	TMEM116
NM_001365635	Q9UK61	TASOR
NM_006909	O14827	RASGRF2
NM_001199290	Q8NBE8	KLHL23
NM_015641	Q9UGI8	TES
NM_001351415	Q92633	LPAR1
NM_006358	O43808	SLC25A17
NM_006826	P27348	YWHAQ
NM_005560	O15230	LAMA5
NM_207362	Q6NV74	CRACDL
NM_001347829	P16234	PDGFRA
NM_006337	Q96EZ8	MCRS1
NM_130901	Q8TE49	OTUD7A
NM_001905	P17812	CTPS1
NM_024626	Q7Z7D3	VTCN1
NM_001302998	Q6XZB0	LIPI
NM_001762	P40227	CCT6A
NM_015926	Q9Y6I9	TEX264
NM_000844	Q14831	GRM7
NM_006349	O43257	ZNHIT1
NM_002581	Q13219	PAPPA
NM_020370	Q9NQS5	GPR84
NM_001365715	Q96II8	LRCH3
NM_001010906	Q68CJ6	NUGGC
NM_001324073	A0A0K2S4Q6	CD300H
NM_004203	Q99640	PKMYT1
NM_001033	P23921	RRM1
NM_144585	Q96S37	SLC22A12
NM_018255	Q6IA86	ELP2
NM_001304388	Q8N9W4	GOLGA6L2
NM_138340	Q8WU67	ABHD3
NM_001206847	P0DKX4	SMIM18
NM_018050	Q9H8J5	MANSC1
NM_021983	P13762	HLA-DRB4
NM_006784	Q9UNX4	WDR3
NM_175856	Q70JA7	CHSY3
NM_004268	Q9NVC6	MED17
NM_020368	Q9NQZ2	UTP3
NM_052959	Q96QZ0	PANX3
NM_014216	Q13572	ITPK1
NM_001396063	A0A494C1R9	TSPY9P
NM_004284	Q86WJ1	CHD1L
NM_001010875	Q5SVS4	SLC25A30
NM_003922	Q15751	HERC1
NM_021095	Q9Y289	SLC5A6
NM_002777	P24158	PRTN3
NM_004505	P35125	USP6
NM_004223	O14933	UBE2L6
NM_000284	P08559	PDHA1
NM_001251991	O75496	GMNN
NM_000914	P35372	OPRM1
NM_001199534	Q9BUV8	RAB5IF
NM_003013	Q96HF1	SFRP2
NM_032142	Q8TEP8	CEP192
NM_199420	O75417	POLQ
NM_022575	Q9H269	VPS16
NM_001040432	Q504Y3	ZCWPW2
NM_014246	Q9NYQ6	CELSR1
NM_015485	Q9Y3V2	RWDD3
NM_004696	O15374	SLC16A4
NM_015060	Q8NBF6	AVL9
NM_020699	Q8WXI9	GATAD2B
NM_153266	Q8N4L1	TMEM151A
NM_005100	Q02952	AKAP12
NM_001386809	Q9H2A7	CXCL16
NM_182628	Q494V2	CFAP100
NM_001193362	Q9NVH0	EXD2
NM_032329	Q8WYH8	ING5
NM_000972	P62424	RPL7A
NM_057091	Q5T4W7	ARTN
NM_152424	Q5JTC6	AMER1
NM_014420	Q9UBT3	DKK4
NM_021072	O60741	HCN1
NM_001288962	Q15642	TRIP10
NM_003245	Q08188	TGM3
NM_000463	P22309	UGT1A1
NM_015260	O75182	SIN3B
NM_002726	P48147	PREP
NM_001391993	P0DMQ9	C8orf89
NM_021953	Q08050	FOXM1
NM_152640	Q8IZD4	DCP1B
NM_002220	P23677	ITPKA
NM_024762	Q9H707	ZNF552
NM_021570	Q9HBU1	BARX1
NM_018117	Q9BZH6	WDR11
NM_004741	Q14978	NOLC1
NM_001271197	A5D8T8	CLEC18A
NM_001370447	Q9BSK1	ZNF577
NM_004380	Q92793	CREBBP
NM_033208	Q6NT04	TIGD7
NM_001019	P62244	RPS15A
NM_017432	Q86YD1	PTOV1
NM_006157	Q92832	NELL1
NM_001040448	P59861	DEFB131A
NM_006416	P78382	SLC35A1
NM_002923	P41220	RGS2
NM_001824	P06732	CKM
NM_003641	P13164	IFITM1
NM_052847	O60262	GNG7
NM_001206998	Q9ULT6	ZNRF3
NM_017847	Q5SWX8	ODR4
NM_003868	O43320	FGF16
NM_012088	O95336	PGLS
NM_001462	P25090	FPR2
NM_001135050	Q9P2J2	IGSF9
NM_012068	Q9Y2D1	ATF5
NM_001102386	A8MTJ3	GNAT3
NM_000492	P13569	CFTR
NM_014478	O75575	CRCP
NM_018296	Q1X8D7	LRRC36
NM_184041	P04075	ALDOA
NM_002936	O60930	RNASEH1
NM_018984	Q8WYL5	SSH1
NM_001147	O15123	ANGPT2
NM_002398	O00470	MEIS1
NM_017946	Q9NWM8	FKBP14
NM_001395253	P0DQD5/P50391	NPY4R2/NPY4R
NM_005791	O00566	MPHOSPH10
NM_173529	Q8IYD9	LAS2
NM_002644	P01833	PIGR
NM_005133	Q9Y256	RCE1
NM_031909	Q9BXJ3	C1QTNF4
NM_020971	Q9H254	SPTBN4
NM_001098536	P45974	USP5
NM_001348266	Q96R72	OR4K3
NM_001288976	P12956	XRCC6
NM_153339	Q8N0Z8	PUSL1
NM_016459	Q8WU39	MZB1
NM_032667	Q96G97	BSCL2
NM_004841	Q9UJF2	RASAL2
NM_016362	Q9UBU3	GHRL
NM_015589	Q9UPU9	SAMD4A
NM_001139510	Q9NTX5	ECHDC1
NM_001367835	Q8IVF7	FMNL3
NM_001039372	A8MVW5	HEPACAM2
NM_001329099	Q96E93	KLRG1
NM_203344	Q9UJW9	SERTAD3
NM_016232	Q01638	IL1RL1
NM_020873	Q6UXK5	LRRN1
NM_058164	O95897	OLFM2
NM_017837	Q9NUD9	PIGV
NM_012464	O43897	TLL1
NM_003890	Q9Y6R7	FCGBP
NM_001136040	Q8N684	CPSF7
NM_001025266	A6NLC5	C3orf70
NM_001080843	P0CG30	GSTT2B
NM_001297722	O00327	ARNTL
NM_012423	P40429	RPL13A
NM_022474	Q8N3R9	PALS1
NM_001301268	P0DMQ5	INAFM2
NM_001331097	Q8NC26	ZNF114
NM_001351123	A0A1B0GTD5	TEX49
NM_005775	O60504	SORBS3
NM_018901	Q9Y5I2	PCDHA10
NM_001005512	Q6IF82	OR4A47
NM_000539	P08100	RHO
NM_001458	Q14315	FLNC
NM_030952	Q9H093	NUAK2
NM_031283	Q9HCS4	TCF7L1
NM_001009615	Q5MJ10	SPANXN2
NM_020444	Q96A73	KIAA1191
NM_022475	Q96QV1	HHIP
NM_005029	O75364	PITX3
NM_004046	P25705	ATP5F1A
NM_173852	Q8N6L1	KRTCAP2
NM_207113	Q8NCC5	SLC37A3
NM_016955	Q9HD40	SEPSECS
NM_006468	Q9BUI4	POLR3C
NM_007018	Q7Z7A1	CNTRL
NM_014059	Q9H4X1	RGCC
NM_001190790	A8MXV6	CDRT15L2
NM_014235	P11441	UBL4A
NM_017534	Q9UKX2	MYH2
NM_139211	Q9BPY8	HOPX
NM_032268	Q8ND25	ZNRF1
NM_019894	Q9NRS4	TMPRSS4
NM_002855	Q15223	NECTIN1
NM_016510	Q96I15	SCLY
NM_016466	Q53RE8	ANKRD39
NM_173167	Q8IWX7	UNC45B
NM_032806	Q8NAT1	POMGNT2
NM_001371116	Q9C0D6	FHDC1
NM_001008739	Q5I0X4	C6orf226
NM_138932	Q9NQ94	A1CF
NM_022134	Q9H3Q3	GAL3ST2
NM_152267	Q96GF1	RNF185
NM_018091	Q9H9T3	ELP3
NM_001135690	P01210	PENK
NM_031908	Q9BXJ5	C1QTNF2
NM_001258031	A6NH21	SERINC4
NM_001079843	Q86V15	CASZ1
NM_024320	Q9BU68	PRR15L
NM_207342	Q6NZ63	STEAP1B
NM_031866	Q9H461	FZD8
NM_153257	Q8TAF7	ZNF461
NM_152377	Q8N0U7	C1orf87
NM_133180	Q8TE68	EPS8L1
NM_001004487	Q8NGT2	OR13J1
NM_001135219	Q5T9C9	PIP5KL1
NM_018283	Q9NV35	NUDT15
NM_006031	O95613	PCNT
NM_001099285	P06454	PTMA
NM_001139456	Q8N434	SVOPL
NM_207510	Q6ZST4	LCNL1
NM_001330542	Q8WVB3	HEXD
NM_001184987	O43677	NDUFC1
NM_002233	P22459	KCNA4
NM_001004739	Q8NGL0	OR5L2
NM_001098	Q99798	ACO2
NM_018641	Q9NRB3	CHST12
NM_003685	Q92945	KHSRP
NM_018180	Q7L7V1	DHX32
NM_001377440	Q9P2M1	LRP2BP
NM_002004	P14324	FDPS
NM_004289	Q9Y4A8	NFE2L3
NM_025132	Q8NEZ3	WDR19
NM_007272	Q99895	CTRC
NM_001350213	A0A087X1C1	TMSB15B
NM_001085474	Q6UX82	LYPD8
NM_001005499	A6NIJ9	OR6C70
NM_024996	Q96RP9	GFM1
NM_001303474	Q96CH1	GPR146
NM_001290060	Q13214	SEMA3B
NM_001042603	P29375	KDM5A
NM_022488	Q9NT62	ATG3
NM_005708	Q9Y625	GPC6
NM_001371071	A0A1B0GV85	REELD1
NM_021822	Q9HC16	APOBEC3G
NM_000085	P51801	CLCNKB
NM_012341	Q9BZE4	GTPBP4
NM_005937	P55198	MLLT6
NM_031491	P82980	RBP5
NM_080723	Q8IZ57	NRSN1
NM_052969	Q96EH5	RPL39L
NM_014324	Q9UHK6	AMACR
NM_004339	P53801	PTTG1IP
NM_014366	Q9BVP2	GNL3
NM_006587	Q9Y5Q5	CORIN
NM_001330000	Q8N4V1	MMGT1
NM_153000	Q8J025	APCDD1
NM_001077516	Q92504	SLC39A7
NM_001389574	Q8NH74	OR10A6
NM_001710	P00751	CFB
NM_020458	Q9ULT0	TTC7A
NM_016299	Q0VDF9	HSPA14
NM_016824	Q9UEY8	ADD3
NM_005581	P50895	BCAM
NM_014343	P56746	CLDN15
NM_014016	Q9NTJ5	SACM1L
NM_130769	Q96T91	GPHA2
NM_001130080	P40305	IFI27
NM_001301229	O15347	HMGB3
NM_145315	Q8WV93	AFG1L
NM_006558	O75525	KHDRBS3
NM_001145113	A6NDP7	MYADML2
NM_014055	Q8WYA0	IFT81
NM_021135	Q15349	RPS6KA2
NM_138296	Q6ISU1	PTCRA
NM_001048183	Q8IZ21	PHACTR4
NM_002382	P61244	MAX
NM_020663	Q9H4E5	RHOJ
NM_018178	Q9H4A5	GOLPH3L
NM_007264	O15218	GPR182
NM_014439	Q9NZH6	IL37
NM_001395404	A0A286YF60	SCYGR3
NM_018132	Q7L2Z9	CENPQ
NM_145740	P08263	GSTA1
NM_003048	Q9UBY0	SLC9A2
NM_145814	Q9BXT2	CACNG6
NM_173600	Q7Z5P9	MUC19
NM_153260	Q8N9N7	LRRC57
NM_001282511	P0DM63/E9PJI5	NPIPA8/NPIPA7
NM_024719	Q5TC63	GRTP1
NM_001001343	Q8TBE3	FNDC9
NM_022573	A6NKD2	TSPY2
NM_153433	Q5BJF6	ODF2
NM_003203	P16383	GCFC2
NM_003039	P22732	SLC2A5
NM_016070	Q9Y3D9	MRPS23
NM_001190787	D6RGH6	MCIDAS
NM_016065	Q9Y3D3	MRPS16
NM_173598	Q6VAB6	KSR2
NM_012484	O75330	HMMR
NM_001481	O95995	GAS8
NM_001007553	O75534	CSDE1
NM_033087	Q9H553	ALG2
NM_002017	Q01543	FLI1
NM_152617	Q8IYW5	RNF168
NM_030765	Q9C0J1	B3GNT4
NM_014474	Q92485	SMPDL3B
NM_001256541	Q9BSN7	TMEM204
NM_012405	O60725	ICMT
NM_144588	Q5T4F4	ZFYVE27
NM_003493	Q16695	H3-4
NM_004202	O14604	TMSB4Y
NM_015596	Q9UKR3	KLK13
NM_001430	Q99814	EPAS1
NM_016440	Q8IV63	VRK3
NM_032287	Q6ICC9	RTL6
NM_000850	Q03013	GSTM4
NM_005460	Q9Y6H5	SNCAIP
NM_001318503	Q99956	DUSP9
NM_012164	Q9UKT8	FBXW2
NM_030816	Q8N6S4	ANKRD13C
NM_024735	Q5XUX0	FBXO31
NM_003171	Q8IYB8	SUPV3L1
NM_006767	Q8N653	LZTR1
NM_001173464	Q7Z4S6	KIF21A
NM_014379	Q6PIU1	KCNV1
NM_031911	Q9BXJ2	C1QTNF7
NM_006310	P55786	NPEPPS
NM_152272	Q8WUX9	CHMP7
NM_173824	Q5JPI3	C3orf38
NM_153698	Q7RTV5	PRXL2C
NM_144589	Q86VU5	COMTD1
NM_002739	P05129	PRKCG
NM_001287426	Q16831	UPP1
NM_181780	Q7Z6A9	BTLA
NM_023074	Q9BS31	ZNF649
NM_001247997	P30622	CLIP1
NM_016848	Q92529	SHC3
NM_005207	P46109	CRKL
NM_017867	Q9NWY4	HPF1
NM_006729	O60879	DIAPH2
NM_021248	Q9UJ99	CDH22
NM_181501	P56199	ITGA1
NM_005171	P18846	ATF1
NM_005634	P41225	SOX3
NM_207352	Q6ZWL3	CYP4V2
NM_003620	O15297	PPM1D
NM_014172	Q9NRX4	PHPT1
NM_020813	Q9BX82	ZNF471
NM_004369	P12111	COL6A3
NM_001818	P17516	AKR1C4
NM_001301196	Q96RU7	TRIB3
NM_152434	Q2TBE0	CWF19L2
NM_005357	Q05469	LIPE
NM_020927	Q9HCJ6	VAT1L
NM_207343	Q8ND24	RNF214
NM_002795	P49720	PSMB3
NM_024594	Q9H999	PANK3
NM_032596	Q8NCR6	SMRP1
NM_000121	P19235	EPOR
NM_015460	Q8NFW9	MYRIP
NM_001382280	A6NM62	LRRC53
NM_020987	Q12955	ANK3
NM_002252	Q9BQ31	KCNS3
NM_005486	O75674	TOM1L1
NM_001395496	Q8N6V9	TEX9
NM_016249	Q9UBF1	MAGEC2
NM_021245	Q9NP98	MYOZ1
NM_001386793	A0A1B0GUJ8	PNMA8C
NM_001355236	Q96BT1	C3orf49
NM_004959	Q13285	NR5A1
NM_000790	P20711	DDC
NM_207299	Q8TBJ4	PLPPR1
NM_003772	Q9Y4A0	JRKL
NM_175623	Q96QF0	RAB3IP
NM_001023561	O43361	ZNF749
NM_001002909	Q9UKJ3	GPATCH8
NM_000313	P07225	PROS1
NM_001033050	Q49AM1	MTERF2
NM_176818	O43716	GATC
NM_001267046	Q96NE9	FRMD6
NM_006986	Q9Y5V3	MAGED1
NM_003643	Q9NP62	GCM1
NM_014377	Q99543	DNAJC2
NM_001374846	Q92597	NDRG1
NM_002204	P26006	ITGA3
NM_015058	A3KMH1	VWA8
NM_001012754	Q5JS37	NHLRC3
NM_001165978	Q8N271	PROM2
NM_020196	Q9HCS7	XAB2
NM_001001413	Q8N7Z2	GOLGA6L1
NM_001330734	Q6AHZ1	ZNF518A
NM_001432	O14944	EREG
NM_001004060	Q5JPE7	NOMO2
NM_024513	Q9BQS8	FYCO1
NM_001190848	O95628	CNOT4
NM_133464	Q8TF39	ZNF483
NM_006664	Q9Y4X3	CCL27
NM_012166	Q9UK96	FBXO10
NM_001369508	Q9BYG7	MRO
NM_001007559	Q15532	SS18
NM_001166034	Q6UWP8	SBSN
NM_002353	P09758	TACSTD2
NM_001355522	Q3ZM63/P0DPP9	ETDA/ETDB
NM_001005182	Q96RD1	OR6C1
NM_006464	O43493	TGOLN2
NM_001006657	Q9P2L0	WDR35
NM_001547	P09913	IFIT2
NM_001039199	Q9BTX7	TTPAL
NM_001008390	Q9UFW8	CGGBP1
NM_178135	Q7Z5P4	HSD17B13
NM_173550	Q6TFL3	CCDC171
NM_032765	Q96A61	TRIM52
NM_001330388	Q9Y3C4	TPRKB
NM_024816	Q9H5N1	RABEP2
NM_014512	Q14954	KIR2DS1
NM_001352129	P0DN84	STRIT1
NM_199280	Q6ZUX3	TOGARAM2
NM_001387347	Q8NI99	ANGPTL6
NM_001005515	A6NDH6	OR5H15
NM_021626	Q9HB40	SCPEP1
NM_001201	P12645	BMP3
NM_004808	O60551	NMT2
NM_000141	P21802	FGFR2
NM_001005167	Q96RD3	OR52E6
NM_004208	O95831	AIFM1
NM_014948	O94941	UBOX5
NM_013373	Q9ULC8	ZDHHC8
NM_004699	Q14320	FAM50A
NM_002597	P20941	PDC
NM_181744	Q6U736	OPN5
NM_018088	Q86YD7	FAM90A1
NM_025216	Q9GZT5	WNT10A
NM_001039523	P02708	CHRNA1
NM_017433	Q8NEV4	MYO3A
NM_020733	Q9ULI3	HEG1
NM_153362	Q8N3Z0	PRSS35
NM_001287259	Q5GH70	XKR9
NM_004570	O75747	PIK3C2G
NM_001319152	Q9BVV2	FNDC11
NM_153332	Q8IV48	ERI1
NM_181604	Q3LI66	KRTAP6-2
NM_032885	Q86TL0	ATG4D
NM_152547	Q6UXG8	BTNL9
NM_013409	P19883	FST
NM_001001411	Q8N7Q3	ZNF676
NM_000269	P15531	NME1
NM_001371477	O95749	GGPS1
NM_018356	Q49AR2	C5orf22
NM_001167986	Q0VD86	INCA1
NM_080874	Q8WWX0	ASB5
NM_145267	Q5VUM1	SDHAF4
NM_000454	P00441	SOD1
NM_003764	O75558	STX11
NM_006355	O00635	TRIM38
NM_005183	O60840	CACNA1F
NM_005125	O14618	CCS
NM_014399	O95857	TSPAN13
NM_145273	Q6UXG3	CD300LG
NM_173477	Q495M9	USH1G
NM_001080432	Q9C0B1	FTO
NM_015192	Q9NQ66	PLCB1
NM_004439	P54756	EPHA5
NM_001017922	Q96PL5	ERMAP
NM_001163561	Q8N801	STPG4
NM_005686	Q9UN79	SOX13
NM_015428	Q8WTR7	ZNF473
NM_004356	P60033	CD81
NM_052888	Q96QE4	LRRC37B
NM_001847	Q14031	COL4A6
NM_001007245	O00458	IFRD1
NM_001164579	Q8NHV5	MOSMO
NM_145202	Q96NZ9	PRAP1
NM_016399	O43715	TRIAP1
NM_006924	Q07955	SRSF1
NM_001355213	Q8NH80	OR10D3
NM_032597	Q96JA4	MS4A14
NM_005909	P46821	MAP1B
NM_015416	Q6P1Q0	LETMD1
NM_001318082	Q9Y2L8	ZKSCAN5
NM_002966	P60903	S100A10
NM_032501	Q9NUB1	ACSS1
NM_020455	Q86SQ4	ADGRG6
NM_015328	Q96HN2	AHCYL2
NM_004489	Q13227	GPS2
NM_014053	Q9Y5Y0	FLVCR1
NM_001080465	A8MV24	C17orf98
NM_198859	Q7Z3G6	PRICKLE2
NM_015051	Q9BS26	ERP44
NM_001193628	P0DL12	SMIM17
NM_001363436	Q9BPX7	C7orf25
NM_018376	Q9BS92	NIPSNAP3B
NM_001038705	Q86SP6	GPR149
NM_001136180	C9JCN9	HSBP1L1
NM_007244	Q16378	PRR4
NM_001362474	P49918	CDKN1C
NM_024097	Q9BV19	C1orf50
NM_001005282	Q8NGP6	OR5M8
NM_004542	O95167	NDUFA3
NM_020634	Q9NR23	GDF3
NM_017495	Q9H0Z9	RBM38
NM_002212	P56537	EIF6
NM_012304	Q9UJT9	FBXL7
NM_144575	Q6MZZ7	CAPN13
NM_001080440	A6NHN0	OTOL1
NM_005755	Q14213	EBI3
NM_138961	Q96AP7	ESAM
NM_006987	Q9UNE2	RPH3AL
NM_018127	Q9BQ52	ELAC2
NM_001130969	Q6X4W1	NSMF
NM_023002	Q86UW8	HAPLN4
NM_004057	P29377	S100G
NM_001042450	A0PJK1	SLC5A10
NM_173576	Q8IYA7	MKX
NM_020995	P00739	HPR
NM_033315	Q96S79	RASL10B
NM_014037	Q9GZN6	SLC6A16
NM_133267	Q9BZM3	GSX2
NM_015057	O75592	MYCBP2
NM_030969	Q9NUH8	TMEM14B
NM_152789	Q5BKY9	FAM133B
NM_000816	P18507	GABRG2
NM_002563	P47900	P2RY1
NM_025149	Q96CM8	ACSF2
NM_014310	Q96D21	RASD2
NM_006820	Q53G44	IFI44L
NM_183357	O95622	ADCY5
NM_015471	Q96IY1	NSL1
NM_001013615	Q96LR2	LURAP1
NM_016220	Q9UII5	ZNF107
NM_001078645	Q13042	CDC16
NM_001098205	P52597	HNRNPF
NM_002423	P09237	MMP7
NM_001004700	Q6IEV9	OR4C11
NM_003105	Q92673	SORL1
NM_012096	Q9UKG1	APPL1
NM_016060	Q9Y3C7	MED31
NM_014880	Q8IX05	CD302
NM_173582	Q6PCE3	PGM2L1
NM_006546	Q9NZI8	IGF2BP1
NM_032512	Q76G19	PDZD4
NM_032709	Q8N2H3	PYROXD2
NM_004797	Q15848	ADIPOQ
NM_001101391	P0C6S8	LINGO3
NM_030786	Q9H7C4	SYNC
NM_015453	Q9BV44	THUMPD3
NM_002355	P20645	M6PR
NM_018990	O75995	SASH3
NM_001377960	Q8IXT5	RBM12B
NM_152688	Q5VWX1	KHDRBS2
NM_004381	Q99941	ATF6B
NM_018003	Q9BZF9	UACA
NM_001290	O43679	LDB2
NM_001042475	Q5SZL2	CEP85L
NM_001289396	P51531	SMARCA2
NM_006871	Q9Y572	RIPK3
NM_001007229	O43791	SPOP
NM_006093	Q9Y2Y8	PRG3
NM_006256	Q16513	PKN2
NM_002228	P05412	JUN
NM_000249	P40692	MLH1
NM_178353	Q5T753	LCE1E
NM_024309	Q8NFZ5	TNIP2
NM_005024	P48595	SERPINB10
NM_032536	Q96CW9	NTNG2
NM_001291825	O75791	GRAP2
NM_019091	Q9HB20	PLEKHA3
NM_178001	Q15257	PTPA
NM_173663	Q9UHL3	FAM153A
NM_001304	O75976	CPD
NM_014590	Q9UQF0	ERVW-1
NM_016059	Q9Y3C6	PPIL1
NM_003118	P09486	SPARC
NM_002076	P15586	GNS
NM_012476	Q9UIW0	VAX2
NM_021648	Q9UJ04	TSPYL4
NM_001031677	Q969Q5	RAB24
NM_001890	P47710	CSN1S1
NM_014353	Q9ULW5	RAB26
NM_144631	Q8N8E2	ZNF513
NM_007187	O75554	WBP4
NM_005672	O43653	PSCA
NM_001349008	Q6DHV5	CC2D2B
NM_032959	Q9GZM3	POLR2J2
NM_020151	Q9NQZ5	STARD7
NM_013289	P43629	KIR3DL1
NM_001010905	Q6P5S2	LEG1
NM_006234	P52435	POLR2J
NM_003028	Q15464	SHB
NM_007015	O75829	CNMD
NM_022173	P31483	TIA1
NM_144635	Q6UXB0	FAM131A
NM_003999	Q99650	OSMR
NM_003473	Q92783	STAM
NM_031423	Q9BZD4	NUF2
NM_080826	B1AKI9	ISM1
NM_001322210	P30939	HTR1F
NM_021805	Q6IA17	SIGIRR
NM_014841	O60641	SNAP91
NM_152836	P57768	SNX16
NM_152525	Q53TS8	C2CD6
NM_017914	Q9BVV8	FAM174C
NM_001042443	P20810	CAST
NM_001348372	A6PVI3	NCBP2L
NM_001174147	O60663	LMX1B
NM_173555	Q2T9J0	TYSND1
NM_001417	P23588	EIF4B
NM_000512	P34059	GALNS
NM_003131	P11831	SRF
NM_000662	P18440	NAT1
NM_032143	Q5FWF4	ZRANB3
NM_181342	Q9Y680	FKBP7
NM_004226	O94768	STK17B
NM_022808	P63162	SNRPN
NM_003187	Q16594	TAF9
NM_021633	Q53G59	KLHL12
NM_004411	O14576	DYNC1I1
NM_001004134	Q8NGE0	OR10AD1
